exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,causalmorph_mean_shd,causalmorph_mean_norm_shd,causalmorph_mean_f1,causalmorph_mean_precision,causalmorph_mean_recall,causalmorph_cons_norm_shd,causalmorph_cons_f1,directlingam_mean_shd,directlingam_mean_norm_shd,directlingam_mean_f1,directlingam_mean_precision,directlingam_mean_recall,directlingam_cons_norm_shd,directlingam_cons_f1,icalingam_mean_shd,icalingam_mean_norm_shd,icalingam_mean_f1,icalingam_mean_precision,icalingam_mean_recall,icalingam_cons_norm_shd,icalingam_cons_f1,status,error_msg
0,1777522697,4,5,3700,4,1,0.4,1.0,0.25,1,0,3,2,5.0,0.416,0.292,0.25,0.375,8,0.667,0.5,0.333,1.0,4.0,0.333,0.416,0.375,0.5,0.667,0.5,7.0,0.584,0.143,0.1,0.25,0.667,0.5,8.0,0.666,0.0,0.0,0.0,0.667,0.5,ok,
1,1777522698,4,5,3601,4,2,0.6667,1.0,0.5,2,0,2,3,3.0,0.25,0.508,0.472,0.611,2,0.167,0.8,0.667,1.0,3.0,0.25,0.508,0.472,0.611,0.167,0.8,5.0,0.417,0.222,0.167,0.333,0.5,0.4,6.0,0.5,0.0,0.0,0.0,0.667,0.2,ok,
2,1777522699,4,5,3512,4,1,0.4,1.0,0.25,1,0,3,2,3.0,0.25,0.2,0.25,0.166,9,0.75,0.4,0.25,1.0,3.0,0.25,0.2,0.25,0.166,0.75,0.4,5.5,0.458,0.0,0.0,0.0,0.75,0.4,5.5,0.458,0.0,0.0,0.0,0.75,0.4,ok,
3,1777522700,4,5,3569,4,2,0.3333,0.5,0.25,1,1,3,3,2.667,0.222,0.286,0.25,0.333,8,0.667,0.0,0.0,0.0,3.0,0.25,0.286,0.25,0.333,0.583,0.0,6.667,0.556,0.0,0.0,0.0,0.667,0.2,6.0,0.5,0.0,0.0,0.0,0.583,0.0,ok,
4,1777522701,4,5,3436,4,1,0.4,1.0,0.25,1,0,3,2,2.0,0.166,0.619,0.584,0.75,8,0.667,0.5,0.333,1.0,2.0,0.166,0.619,0.584,0.75,0.667,0.5,5.5,0.458,0.0,0.0,0.0,0.667,0.5,5.5,0.458,0.0,0.0,0.0,0.667,0.5,ok,
5,1777522702,4,5,3783,4,1,0.4,1.0,0.25,1,0,3,2,0.5,0.042,0.5,0.5,0.5,11,0.917,0.154,0.083,1.0,0.5,0.042,0.5,0.5,0.5,0.917,0.154,2.0,0.167,0.0,0.0,0.0,0.917,0.154,2.0,0.167,0.0,0.0,0.0,0.917,0.154,ok,
6,1777522703,4,5,3396,4,1,0.4,1.0,0.25,1,0,3,2,1.0,0.084,0.834,0.834,0.834,9,0.75,0.4,0.25,1.0,1.0,0.084,0.834,0.834,0.834,0.75,0.4,3.5,0.292,0.143,0.125,0.166,0.75,0.4,3.5,0.292,0.143,0.125,0.166,0.75,0.4,ok,
7,1777522704,4,5,3497,4,2,0.0,0.0,0.0,0,2,4,3,1.333,0.111,0.5,0.5,0.5,3,0.25,0.4,0.333,0.5,1.333,0.111,0.5,0.5,0.5,0.25,0.4,3.333,0.278,0.167,0.111,0.333,0.5,0.25,4.0,0.333,0.0,0.0,0.0,0.5,0.25,ok,
8,1777522705,4,5,3593,4,1,0.4,1.0,0.25,1,0,3,2,1.5,0.125,0.5,0.5,0.5,10,0.833,0.286,0.167,1.0,1.5,0.125,0.5,0.5,0.5,0.833,0.286,2.5,0.209,0.0,0.0,0.0,0.833,0.286,3.0,0.25,0.0,0.0,0.0,0.833,0.286,ok,
9,1777522706,4,5,3402,4,2,0.6667,1.0,0.5,2,0,2,3,5.333,0.445,0.095,0.083,0.111,9,0.75,0.182,0.143,0.25,5.333,0.445,0.095,0.083,0.111,0.75,0.182,6.667,0.556,0.083,0.067,0.111,0.667,0.2,7.667,0.639,0.0,0.0,0.0,0.833,0.0,ok,
10,1777522707,4,5,3447,4,2,0.3333,0.5,0.25,1,1,3,3,1.333,0.111,0.5,0.5,0.5,3,0.25,0.4,0.333,0.5,1.333,0.111,0.5,0.5,0.5,0.25,0.4,2.667,0.222,0.222,0.167,0.333,0.25,0.571,3.667,0.305,0.0,0.0,0.0,0.5,0.0,ok,
11,1777522708,4,5,3552,4,2,0.3333,0.5,0.25,1,1,3,3,2.0,0.166,0.6,0.5,0.778,3,0.25,0.571,0.5,0.667,2.0,0.166,0.6,0.5,0.778,0.25,0.571,5.333,0.444,0.0,0.0,0.0,0.5,0.4,5.333,0.444,0.0,0.0,0.0,0.5,0.4,ok,
12,1777522709,4,5,3257,4,4,0.5,0.5,0.5,2,2,2,5,3.8,0.317,0.3,0.3,0.3,5,0.417,0.286,0.333,0.25,3.8,0.317,0.3,0.3,0.3,0.417,0.286,5.6,0.467,0.08,0.067,0.1,0.583,0.222,6.0,0.5,0.0,0.0,0.0,0.667,0.0,ok,
13,1777522710,4,5,3377,4,3,0.8571,1.0,0.75,3,0,1,4,2.75,0.229,0.492,0.458,0.542,5,0.417,0.286,0.25,0.333,2.75,0.229,0.492,0.458,0.542,0.417,0.286,5.25,0.438,0.062,0.05,0.083,0.667,0.2,5.5,0.458,0.062,0.05,0.083,0.583,0.364,ok,
14,1777522711,4,5,3481,4,2,0.6667,1.0,0.5,2,0,2,3,3.333,0.278,0.333,0.333,0.333,7,0.583,0.222,0.2,0.25,3.667,0.306,0.333,0.333,0.333,0.667,0.2,4.333,0.361,0.167,0.167,0.167,0.417,0.545,5.0,0.417,0.0,0.0,0.0,0.5,0.4,ok,
15,1777522712,4,5,3218,4,1,0.4,1.0,0.25,1,0,3,2,0.5,0.042,0.834,0.75,1.0,10,0.833,0.286,0.167,1.0,0.5,0.042,0.834,0.75,1.0,0.833,0.286,3.5,0.292,0.0,0.0,0.0,0.833,0.286,3.5,0.292,0.0,0.0,0.0,0.833,0.286,ok,
16,1777522713,4,5,3560,4,2,0.6667,1.0,0.5,2,0,2,3,2.333,0.195,0.333,0.333,0.333,4,0.333,0.333,0.25,0.5,2.333,0.195,0.333,0.333,0.333,0.333,0.333,4.333,0.361,0.111,0.083,0.167,0.417,0.286,5.0,0.417,0.0,0.0,0.0,0.417,0.286,ok,
