exp_id,seed,p,n_regimes,total_samples,n_true_cps,n_detected_cps,det_f1,det_precision,det_recall,det_tp,det_fp,det_fn,n_structures,mean_shd,mean_norm_shd,mean_struct_f1,mean_struct_precision,mean_struct_recall,consensus_shd,consensus_norm_shd,consensus_f1,consensus_precision,consensus_recall,status,error_msg
0,1777492083,3,5,3573,4,3,0.8571,1.0,0.75,3,0,1,4,0.75,0.125,0.25,0.25,0.25,2,0.333,0.0,0.0,0.0,ok,
1,1777492084,3,5,3606,4,4,0.75,0.75,0.75,3,1,1,5,1.6,0.266,0.6,0.6,0.6,2,0.333,0.5,0.5,0.5,ok,
2,1777492085,3,5,3484,4,2,0.6667,1.0,0.5,2,0,2,3,0.667,0.111,0.333,0.333,0.333,2,0.333,0.0,0.0,0.0,ok,
3,1777492086,3,5,3476,4,0,0.0,1.0,0.0,0,0,4,1,1.0,0.167,0.667,0.5,1.0,5,0.833,0.286,0.167,1.0,ok,
4,1777492087,3,5,3447,4,1,0.4,1.0,0.25,1,0,3,2,1.5,0.25,0.334,0.25,0.5,5,0.833,0.286,0.167,1.0,ok,
5,1777492088,3,5,3594,4,2,0.6667,1.0,0.5,2,0,2,3,0.333,0.056,0.933,0.889,1.0,2,0.333,0.5,0.333,1.0,ok,
6,1777492089,3,5,3740,4,1,0.0,0.0,0.0,0,1,4,2,0.0,0.0,1.0,1.0,1.0,4,0.667,0.5,0.333,1.0,ok,
7,1777492090,3,5,3659,4,1,0.4,1.0,0.25,1,0,3,2,1.5,0.25,0.334,0.25,0.5,5,0.833,0.286,0.167,1.0,ok,
8,1777492091,3,5,3477,4,5,0.6667,0.6,0.75,3,2,1,6,1.833,0.305,0.167,0.167,0.167,3,0.5,0.0,0.0,0.0,ok,
9,1777492092,3,5,3473,4,3,0.5714,0.6667,0.5,2,1,2,4,1.25,0.209,0.0,0.0,0.0,2,0.333,0.0,0.0,0.0,ok,
10,1777492093,4,5,3617,4,3,0.8571,1.0,0.75,3,0,1,4,0.25,0.021,0.917,0.875,1.0,1,0.083,0.667,0.5,1.0,ok,
11,1777492094,4,5,3393,4,3,0.8571,1.0,0.75,3,0,1,4,3.5,0.292,0.322,0.312,0.333,6,0.5,0.25,0.2,0.333,ok,
12,1777492095,4,5,3486,4,4,0.5,0.5,0.5,2,2,2,5,1.8,0.15,0.133,0.1,0.2,3,0.25,0.0,0.0,0.0,ok,
13,1777492096,4,5,3510,4,3,0.5714,0.6667,0.5,2,1,2,4,2.25,0.187,0.25,0.25,0.25,4,0.333,0.0,0.0,0.0,ok,
14,1777492097,4,5,3591,4,2,0.6667,1.0,0.5,2,0,2,3,1.333,0.111,0.333,0.333,0.333,3,0.25,0.0,0.0,0.0,ok,
15,1777492098,4,5,3233,4,2,0.6667,1.0,0.5,2,0,2,3,1.333,0.111,0.778,0.778,0.778,2,0.167,0.667,0.667,0.667,ok,
16,1777492099,4,5,3413,4,2,0.3333,0.5,0.25,1,1,3,3,1.667,0.139,0.222,0.167,0.333,3,0.25,0.0,0.0,0.0,ok,
17,1777492100,4,5,3440,4,4,0.75,0.75,0.75,3,1,1,5,2.0,0.167,0.585,0.55,0.633,5,0.417,0.286,0.2,0.5,ok,
18,1777492101,4,5,3399,4,2,0.3333,0.5,0.25,1,1,3,3,2.0,0.167,0.722,0.722,0.722,3,0.25,0.667,0.6,0.75,ok,
19,1777492102,4,5,3436,4,3,0.2857,0.3333,0.25,1,2,3,4,1.5,0.125,0.25,0.25,0.25,3,0.25,0.0,0.0,0.0,ok,
20,1777492103,5,5,3520,4,3,0.2857,0.3333,0.25,1,2,3,4,5.5,0.275,0.417,0.412,0.425,12,0.6,0.143,0.125,0.167,ok,
21,1777492104,5,5,3391,4,4,1.0,1.0,1.0,4,0,0,5,3.2,0.16,0.393,0.367,0.433,5,0.25,0.444,0.333,0.667,ok,
22,1777492105,5,5,3614,4,3,0.2857,0.3333,0.25,1,2,3,4,4.0,0.2,0.483,0.438,0.571,7,0.35,0.462,0.375,0.6,ok,
23,1777492106,5,5,3706,4,2,0.3333,0.5,0.25,1,1,3,3,5.333,0.267,0.296,0.3,0.3,9,0.45,0.0,0.0,0.0,ok,
24,1777492107,5,5,3405,4,3,0.8571,1.0,0.75,3,0,1,4,5.5,0.275,0.484,0.472,0.505,9,0.45,0.526,0.455,0.625,ok,
25,1777492108,5,5,3495,4,1,0.4,1.0,0.25,1,0,3,2,6.5,0.325,0.243,0.25,0.25,14,0.7,0.462,0.3,1.0,ok,
26,1777492109,5,5,3457,4,3,0.5714,0.6667,0.5,2,1,2,4,3.5,0.175,0.429,0.479,0.396,8,0.4,0.2,0.167,0.25,ok,
27,1777492110,5,5,3434,4,1,0.4,1.0,0.25,1,0,3,2,6.0,0.3,0.334,0.334,0.334,14,0.7,0.462,0.3,1.0,ok,
28,1777492111,5,5,3353,4,2,0.6667,1.0,0.5,2,0,2,3,5.333,0.267,0.333,0.289,0.492,8,0.4,0.429,0.429,0.429,ok,
29,1777492112,5,5,3468,4,4,0.5,0.5,0.5,2,2,2,5,2.8,0.14,0.473,0.433,0.533,4,0.2,0.5,0.4,0.667,ok,
30,1777492113,6,5,3625,4,2,0.6667,1.0,0.5,2,0,2,3,6.333,0.211,0.362,0.283,0.511,15,0.5,0.211,0.154,0.333,ok,
31,1777492114,6,5,3585,4,2,0.3333,0.5,0.25,1,1,3,3,4.0,0.133,0.503,0.483,0.528,10,0.333,0.286,0.222,0.4,ok,
32,1777492115,6,5,3406,4,4,1.0,1.0,1.0,4,0,0,5,7.8,0.26,0.08,0.05,0.2,13,0.433,0.235,0.2,0.286,ok,
33,1777492116,6,5,3466,4,3,0.8571,1.0,0.75,3,0,1,4,6.25,0.209,0.448,0.431,0.49,12,0.4,0.333,0.3,0.375,ok,
